Ensembl	KEid	KEtitle	AOid	AOtitle	AOPid	AOPtitle
ENSG00000138385	https://identifiers.org/aop.events/424; https://identifiers.org/aop.events/1635	Inhibition, Na+/I- symporter (NIS); Increase, DNA strand breaks	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/341	Cognitive Function, Decreased ; Impairment, Learning and memory; Impairment, Learning and memory	https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/483	Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Deposition of Energy Leading to Learning and Memory Impairment
ENSG00000138722	https://identifiers.org/aop.events/1825	Increase, Cell death	https://identifiers.org/aop.events/896	Parkinsonian motor deficits	https://identifiers.org/aop/464	Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits
ENSG00000139155	https://identifiers.org/aop.events/960	Increased, Uptake of thyroxine into tissue	https://identifiers.org/aop.events/402	Cognitive Function, Decreased	https://identifiers.org/aop/152	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000139726	https://identifiers.org/aop.events/957	Binding, Transthyretin in serum	https://identifiers.org/aop.events/402	Cognitive Function, Decreased	https://identifiers.org/aop/152	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000140465	https://identifiers.org/aop.events/960	Increased, Uptake of thyroxine into tissue	https://identifiers.org/aop.events/402	Cognitive Function, Decreased	https://identifiers.org/aop/152	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000140505	https://identifiers.org/aop.events/850; https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/961	Induction, CYP1A2/CYP1A5; Increased, Uptake of thyroxine into tissue; Increased, Clearance of thyroxine from serum	https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402	Cognitive Function, Decreased; Cognitive Function, Decreased; Cognitive Function, Decreased	https://identifiers.org/aop/459; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458	AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000140988	https://identifiers.org/aop.events/1738	SARS-CoV-2 cell entry 	https://identifiers.org/aop.events/1875	Cerebrovascular disease (stroke)	https://identifiers.org/aop/395	Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on pericytes leads to disseminated intravascular coagulation resulting in cerebrovascular disease (stroke)
ENSG00000141510	https://identifiers.org/aop.events/1262; https://identifiers.org/aop.events/1974; https://identifiers.org/aop.events/1513	Apoptosis; Activation of Tumor Protein 53; General Apoptosis	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/1978; https://identifiers.org/aop.events/1514	Impairment, Learning and memory; Increase risk, microcephaly; Neurodegeneration	https://identifiers.org/aop/500; https://identifiers.org/aop/441; https://identifiers.org/aop/260	Activation of MEK-ERK1/2 leads to deficits in learning and cognition via ROS and apoptosis; Ionizing radiation-induced DNA damage leads to microcephaly via apoptosis and premature cell differentiation; CYP2E1 activation and formation of protein adducts leading to neurodegeneration
ENSG00000142507	https://identifiers.org/aop.events/1974; https://identifiers.org/aop.events/383	Activation of Tumor Protein 53; Reduced, Presynaptic release of glutamate	https://identifiers.org/aop.events/1978; https://identifiers.org/aop.events/341	Increase risk, microcephaly; Impairment, Learning and memory	https://identifiers.org/aop/441; https://identifiers.org/aop/13	Ionizing radiation-induced DNA damage leads to microcephaly via apoptosis and premature cell differentiation; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities
ENSG00000142784	https://identifiers.org/aop.events/1392; https://identifiers.org/aop.events/1492	Oxidative Stress ; Tissue resident cell activation	https://identifiers.org/aop.events/1941; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/896; https://identifiers.org/aop.events/341	Impairment, Learning and memory; Memory Loss; Parkinsonian motor deficits; Impairment, Learning and memory	https://identifiers.org/aop/17; https://identifiers.org/aop/429; https://identifiers.org/aop/464; https://identifiers.org/aop/483; https://identifiers.org/aop/17; https://identifiers.org/aop/483	A cholesterol/glucose dysmetabolism initiated Tau-driven AOP toward memory loss (AO) in sporadic Alzheimer's Disease with plausible MIE's plug-ins for environmental neurotoxicants; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits; Deposition of Energy Leading to Learning and Memory Impairment; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Deposition of Energy Leading to Learning and Memory Impairment
ENSG00000143437	https://identifiers.org/aop.events/18	Activation, AhR	https://identifiers.org/aop.events/402	Cognitive Function, Decreased	https://identifiers.org/aop/458; https://identifiers.org/aop/459	AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals
ENSG00000143543	https://identifiers.org/aop.events/55	Cell injury/death	https://identifiers.org/aop.events/2121; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/352	Impairment, Learning and memory; N/A, Neurodegeneration; decreased, Intellectual Quotient	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/17; https://identifiers.org/aop/281; https://identifiers.org/aop/48; https://identifiers.org/aop/490	Acetylcholinesterase Inhibition Leading to Neurodegeneration; Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging; Co-activation of IP3R and RyR leads to economic burden through reduced IQ and non-cholinergic mechanisms
ENSG00000143799	https://identifiers.org/aop.events/1825	Increase, Cell death	https://identifiers.org/aop.events/896	Parkinsonian motor deficits	https://identifiers.org/aop/464	Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits
ENSG00000144339	https://identifiers.org/aop.events/1656	Antagonism, Thyroid Receptor 	https://identifiers.org/aop.events/402	Cognitive Function, Decreased	https://identifiers.org/aop/300; https://identifiers.org/aop/485	Thyroid Receptor Antagonism and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Thyroid hormone antagonism leading to impaired oligodendrocyte maturation during development and subsequent decreased cognition
ENSG00000146469	https://identifiers.org/aop.events/851	Decrease of GABAergic interneurons	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/54	Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment
ENSG00000146477	https://identifiers.org/aop.events/1493	Increased Pro-inflammatory mediators	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/17	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory
ENSG00000146733	https://identifiers.org/aop.events/682	Generation, Amplified excitatory postsynaptic potential (EPSP)	https://identifiers.org/aop.events/613	Occurrence, Epileptic seizure	https://identifiers.org/aop/10	Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain
ENSG00000147065	https://identifiers.org/aop.events/896	Parkinsonian motor deficits	https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/1363; https://identifiers.org/aop.events/1841; https://identifiers.org/aop.events/896	Encephalitis; Increase, seizure; Increased, epilepsy; Parkinsonian motor deficits	https://identifiers.org/aop/3; https://identifiers.org/aop/464; https://identifiers.org/aop/471	Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits; Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits; Various neuronal effects induced by elavl3, sox10, and mbp
ENSG00000147099	https://identifiers.org/aop.events/1502	Histone deacetylase inhibition	https://identifiers.org/aop.events/1561	Neural tube defects	https://identifiers.org/aop/275; https://identifiers.org/aop/449	Ceramide synthase inhibition leading to neural tube defects ; Histone deacetylase inhibition leads to neural tube defects
ENSG00000147100	https://identifiers.org/aop.events/280; https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/961	Thyroxine (T4) in neuronal tissue, Decreased ; Increased, Uptake of thyroxine into tissue; Increased, Clearance of thyroxine from serum	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402	Cognitive Function, Decreased ; Impairment, Learning and memory; Cognitive Function, Decreased; Cognitive Function, Decreased	https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458	AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity ; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000147571	https://identifiers.org/aop.events/277	Thyroid hormone synthesis, Decreased	https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402	Cognitive Function, Decreased ; Impairment, Learning and memory; Increase, seizure	https://identifiers.org/aop/134; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65	AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Thyroid peroxidase (TPO) inhibition leads to periventricular heterotopia formation in the developing rat brain; XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals
ENSG00000148180	https://identifiers.org/aop.events/1339	Increase, intracellular calcium	https://identifiers.org/aop.events/1344; https://identifiers.org/aop.events/1345; https://identifiers.org/aop.events/1346; https://identifiers.org/aop.events/341	Impairment, Learning and memory; Increased, agitation; Increased, depression; Increased, seizure	https://identifiers.org/aop/214; https://identifiers.org/aop/499; https://identifiers.org/aop/500	Activation of MEK-ERK1/2 leads to deficits in learning and cognition via ROS and apoptosis; Activation of MEK-ERK1/2 leads to deficits in learning and cognition via disrupted neurotransmitter release; Network of SSRIs (selective serotonin reuptake inhibitors)
ENSG00000149311	https://identifiers.org/aop.events/1974	Activation of Tumor Protein 53	https://identifiers.org/aop.events/1978	Increase risk, microcephaly	https://identifiers.org/aop/441	Ionizing radiation-induced DNA damage leads to microcephaly via apoptosis and premature cell differentiation
ENSG00000149735	https://identifiers.org/aop.events/1392	Oxidative Stress 	https://identifiers.org/aop.events/1941; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/896	Impairment, Learning and memory; Memory Loss; Parkinsonian motor deficits	https://identifiers.org/aop/17; https://identifiers.org/aop/429; https://identifiers.org/aop/464; https://identifiers.org/aop/483	A cholesterol/glucose dysmetabolism initiated Tau-driven AOP toward memory loss (AO) in sporadic Alzheimer's Disease with plausible MIE's plug-ins for environmental neurotoxicants; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits; Deposition of Energy Leading to Learning and Memory Impairment
ENSG00000150782	https://identifiers.org/aop.events/1492	Tissue resident cell activation	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/17; https://identifiers.org/aop/483	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Deposition of Energy Leading to Learning and Memory Impairment
ENSG00000151093	https://identifiers.org/aop.events/1841	Encephalitis	https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/1363; https://identifiers.org/aop.events/1841; https://identifiers.org/aop.events/896	Encephalitis; Increase, seizure; Increased, epilepsy; Parkinsonian motor deficits	https://identifiers.org/aop/374; https://identifiers.org/aop/471	Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on brain cells (neuronal and non-neuronal) leads to neuroinflammation resulting in encephalitis; Various neuronal effects induced by elavl3, sox10, and mbp
ENSG00000151623	https://identifiers.org/aop.events/889	Impaired, Proteostasis	https://identifiers.org/aop.events/896	Parkinsonian motor deficits	https://identifiers.org/aop/3	Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits
ENSG00000151849	https://identifiers.org/aop.events/1493	Increased Pro-inflammatory mediators	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/17	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory
ENSG00000151914	https://identifiers.org/aop.events/958	Displacement, Serum thyroxine (T4) from transthyretin	https://identifiers.org/aop.events/402	Cognitive Function, Decreased	https://identifiers.org/aop/152	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000152818	https://identifiers.org/aop.events/957	Binding, Transthyretin in serum	https://identifiers.org/aop.events/402	Cognitive Function, Decreased	https://identifiers.org/aop/152	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000154415	https://identifiers.org/aop.events/2024	Reduced complex sphingolipids	https://identifiers.org/aop.events/1561	Neural tube defects	https://identifiers.org/aop/449	Ceramide synthase inhibition leading to neural tube defects
ENSG00000154553	https://identifiers.org/aop.events/889	Impaired, Proteostasis	https://identifiers.org/aop.events/896	Parkinsonian motor deficits	https://identifiers.org/aop/3	Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits
ENSG00000155380	https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/961	Increased, Uptake of thyroxine into tissue; Increased, Clearance of thyroxine from serum	https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402	Cognitive Function, Decreased; Cognitive Function, Decreased	https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000156709	https://identifiers.org/aop.events/177; https://identifiers.org/aop.events/55	N/A, Mitochondrial dysfunction 1; Cell injury/death	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/896; https://identifiers.org/aop.events/2121; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/352	Impairment, Learning and memory; Parkinsonian motor deficits; Impairment, Learning and memory; N/A, Neurodegeneration; decreased, Intellectual Quotient	https://identifiers.org/aop/3; https://identifiers.org/aop/48; https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/17; https://identifiers.org/aop/281; https://identifiers.org/aop/48; https://identifiers.org/aop/490	Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.; Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits; Acetylcholinesterase Inhibition Leading to Neurodegeneration; Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging; Co-activation of IP3R and RyR leads to economic burden through reduced IQ and non-cholinergic mechanisms
ENSG00000156738	https://identifiers.org/aop.events/850	Induction, CYP1A2/CYP1A5	https://identifiers.org/aop.events/402	Cognitive Function, Decreased	https://identifiers.org/aop/459	AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals
ENSG00000157005	https://identifiers.org/aop.events/851	Decrease of GABAergic interneurons	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/54	Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment
ENSG00000158856	https://identifiers.org/aop.events/1968	Increase, Mitochondrial Dysfunction	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/500	Activation of MEK-ERK1/2 leads to deficits in learning and cognition via ROS and apoptosis
ENSG00000160013	https://identifiers.org/aop.events/958	Displacement, Serum thyroxine (T4) from transthyretin	https://identifiers.org/aop.events/402	Cognitive Function, Decreased	https://identifiers.org/aop/152	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000160111	https://identifiers.org/aop.events/851	Decrease of GABAergic interneurons	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/54	Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment
ENSG00000160226	https://identifiers.org/aop.events/1392	Oxidative Stress 	https://identifiers.org/aop.events/1941; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/896	Impairment, Learning and memory; Memory Loss; Parkinsonian motor deficits	https://identifiers.org/aop/17; https://identifiers.org/aop/429; https://identifiers.org/aop/464; https://identifiers.org/aop/483	A cholesterol/glucose dysmetabolism initiated Tau-driven AOP toward memory loss (AO) in sporadic Alzheimer's Disease with plausible MIE's plug-ins for environmental neurotoxicants; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits; Deposition of Energy Leading to Learning and Memory Impairment
ENSG00000160868	https://identifiers.org/aop.events/961	Increased, Clearance of thyroxine from serum	https://identifiers.org/aop.events/402	Cognitive Function, Decreased	https://identifiers.org/aop/152; https://identifiers.org/aop/458	AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000162174	https://identifiers.org/aop.events/889	Impaired, Proteostasis	https://identifiers.org/aop.events/896	Parkinsonian motor deficits	https://identifiers.org/aop/3	Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits
ENSG00000162769	https://identifiers.org/aop.events/958; https://identifiers.org/aop.events/1875	Displacement, Serum thyroxine (T4) from transthyretin; Cerebrovascular disease (stroke)	https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/1875	Cognitive Function, Decreased; Cerebrovascular disease (stroke)	https://identifiers.org/aop/152; https://identifiers.org/aop/395	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on pericytes leads to disseminated intravascular coagulation resulting in cerebrovascular disease (stroke)
ENSG00000163431	https://identifiers.org/aop.events/896; https://identifiers.org/aop.events/890; https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/961	Parkinsonian motor deficits; Degeneration of dopaminergic neurons of the nigrostriatal pathway; Increased, Uptake of thyroxine into tissue; Increased, Clearance of thyroxine from serum	https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/1363; https://identifiers.org/aop.events/1841; https://identifiers.org/aop.events/896; https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/1363; https://identifiers.org/aop.events/1841; https://identifiers.org/aop.events/896; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402	Encephalitis; Increase, seizure; Increased, epilepsy; Parkinsonian motor deficits; Encephalitis; Increase, seizure; Increased, epilepsy; Parkinsonian motor deficits; Cognitive Function, Decreased; Cognitive Function, Decreased	https://identifiers.org/aop/3; https://identifiers.org/aop/464; https://identifiers.org/aop/471; https://identifiers.org/aop/3; https://identifiers.org/aop/471; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458	Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits; Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits; Various neuronal effects induced by elavl3, sox10, and mbp; Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits; Various neuronal effects induced by elavl3, sox10, and mbp; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000163517	https://identifiers.org/aop.events/1502	Histone deacetylase inhibition	https://identifiers.org/aop.events/1561	Neural tube defects	https://identifiers.org/aop/275; https://identifiers.org/aop/449	Ceramide synthase inhibition leading to neural tube defects ; Histone deacetylase inhibition leads to neural tube defects
ENSG00000163531	https://identifiers.org/aop.events/281	 Thyroxine (T4) in serum, Decreased	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402	Cognitive Function, Decreased ; Impairment, Learning and memory	https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65	AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity ; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals
ENSG00000163568	https://identifiers.org/aop.events/1825	Increase, Cell death	https://identifiers.org/aop.events/896	Parkinsonian motor deficits	https://identifiers.org/aop/464	Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits
ENSG00000163599	https://identifiers.org/aop.events/958; https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/1738	Displacement, Serum thyroxine (T4) from transthyretin; Increased Pro-inflammatory mediators; SARS-CoV-2 cell entry 	https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/1875	Cognitive Function, Decreased; Impairment, Learning and memory; Cerebrovascular disease (stroke)	https://identifiers.org/aop/152; https://identifiers.org/aop/17; https://identifiers.org/aop/395	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on pericytes leads to disseminated intravascular coagulation resulting in cerebrovascular disease (stroke)
ENSG00000163631	https://identifiers.org/aop.events/959; https://identifiers.org/aop.events/958; https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/961; https://identifiers.org/aop.events/957	Increased, Free serum thyroxine (T4); Displacement, Serum thyroxine (T4) from transthyretin; Increased, Uptake of thyroxine into tissue; Increased, Clearance of thyroxine from serum; Binding, Transthyretin in serum	https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402	Cognitive Function, Decreased; Cognitive Function, Decreased; Cognitive Function, Decreased; Cognitive Function, Decreased; Cognitive Function, Decreased	https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458; https://identifiers.org/aop/152	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000163659	https://identifiers.org/aop.events/55	Cell injury/death	https://identifiers.org/aop.events/2121; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/352	Impairment, Learning and memory; N/A, Neurodegeneration; decreased, Intellectual Quotient	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/17; https://identifiers.org/aop/281; https://identifiers.org/aop/48; https://identifiers.org/aop/490	Acetylcholinesterase Inhibition Leading to Neurodegeneration; Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging; Co-activation of IP3R and RyR leads to economic burden through reduced IQ and non-cholinergic mechanisms
ENSG00000163918	https://identifiers.org/aop.events/383	Reduced, Presynaptic release of glutamate	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/13	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities
ENSG00000164342	https://identifiers.org/aop.events/1825	Increase, Cell death	https://identifiers.org/aop.events/896	Parkinsonian motor deficits	https://identifiers.org/aop/464	Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits
ENSG00000164400	https://identifiers.org/aop.events/1492	Tissue resident cell activation	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/17; https://identifiers.org/aop/483	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Deposition of Energy Leading to Learning and Memory Impairment
